Provinsi,prevalensi_underweight_persen,prevalensi_stunting_persen,prevalensi_wasting_persen,persen_jarak_kehamilan_berisiko,persen_usia_ibu_berisiko,persen_tidak_ikut_kelas_bumil,persen_masalah_buku_kia,persen_kia_tidak_dijelaskan,persen_anc_tidak_lengkap_k6,persen_anc_tempat_informal,persen_usg_tidak_lengkap,persen_usg_oleh_non_spesialis,persen_tidak_patuh_minum_ttd,persen_mulai_ttd_terlambat,persen_bblr,persen_pblr,persen_imd_terlambat,persen_tidak_pernah_asi,persen_tidak_asi_eksklusif,persen_diberi_makanan_campuran_dini,persen_asi_berhenti_sebelum_2_tahun,persen_mpasi_tidak_tepat_waktu,persen_tidak_memenuhi_mdd,persen_tidak_memenuhi_mmf,persen_tidak_memenuhi_mmff,persen_tidak_memenuhi_mad,persen_tidak_konsumsi_protein_hewani,persen_konsumsi_minuman_manis,persen_konsumsi_makanan_tak_sehat,persen_tidak_konsumsi_buah_sayur,persen_pemberian_makan_dini,persen_diberi_susu_formula,persen_jarang_pantau_pertumbuhan,persen_pemantauan_nonstandar,persen_risiko_layanan_nonlengkap,persen_tidak_dapat_pmt,persen_pmt_tidak_habis,persen_tidak_dapat_vit_a,persen_imunisasi_dasar_incomplete,persen_imunisasi_lanjutan_incomplete,persen_imunisasi_pcv_incomplete,persen_imunisasi_rotavirus_incomplete,persen_balita_ispa,persen_balita_diare,persen_balita_pneumonia,persen_balita_tbc,persen_tidak_memiliki_jamkes,persen_jamkes_tidak_dimanfaatkan,persen_keluarga_tanpa_tpk,persen_balita_dianggap_berisiko,persen_persepsi_ibu_anak_bermasalah_gizi,persen_pengetahuan_stunting_baik,persen_tidak_kb_pasca_salin,persen_tidak_dapat_bansos,persen_akses_air_minum_berisiko,persen_akses_sanitasi_berisiko,persen_pembuangan_limbah_berisiko
DKI Jakarta,"14,9","17,2","7,4","14,4","9,4","90,1","10,5","53,6",58,0,"9,2","16,5","29,2","95,4","6,6","29,8","12,9","5,3","46,4","23,4","41,9","8,3","39,3","22,7","3,9","48,1","86,8","9,1","51,6","18,9","31,5","52,7","23,45","42,7","65,9","91,3","19,3","16,2","41,2","46,1","25,9","71,1","55,2","9,4","7,5","2,2",12,"45,7","47,7","6,4","15,9","0,7",70,"71,4","0,5","12,3","96,4"
Jawa Barat,"11,7","15,9","4,4","9,7","12,4","64,5","13,2","54,3","71,3","17,7","19,8","34,3","30,8","92,8","6,7","15,9","15,2","4,7","30,3","10,4","32,1","8,7","51,6","25,9","18,1",60,78,"7,1","58,2","24,8","24,5","36,5","16,65","30,5","44,6","93,2","29,8","7,4",41,"54,1","33,3","76,5","56,9","13,7","7,6","2,6",51,"45,9","33,7","5,9","14,1","1,1","64,3",42,"4,1",20,"84,4"
Jawa Tengah,"15,0",17,"5,9","13,2",11,"38,9","3,6","75,4","62,9","4,5","13,6","16,7","21,5","92,7","7,1","23,9","25,7","2,3","25,3","11,4","24,6","7,1","39,2","22,4","12,3","50,2","84,1","9,2","53,2","17,7","18,4","29,3","11,55","21,5","30,1","67,5","30,2","5,2","17,5","26,6","15,2","67,6","44,3","10,1",6,"1,9","47,8","44,6","12,5",16,"30,8","8,2","69,6","28,7","5,1","10,3","81,7"
DI Yogyakarta,"15,3","17,4","6,7","16,9","9,6","66,7","4,2","59,1","61,6",0,"7,6","11,9","23,1",95,"8,2","28,9",24,2,"21,5","14,1","18,9","6,7","32,1","15,5","4,4","41,8","88,1","10,2","59,1","15,8","16,9","29,7","13,95","26,3","40,8","85,6","34,5","6,6","10,5","19,6","6,1","51,8","42,9","7,7","11,8","1,5","25,8","23,1","42,9",10,"25,3","2,2","77,1","41,3","4,4","3,8","43,7"
Jawa Timur,"14,5","14,7","6,1","10,4","13,1","63,5","7,6","54,5","64,6","4,1","21,6","23,3","42,3","91,5","6,6","14,3",19,"5,4","34,6","15,5","35,2","14,4","49,1","26,8","15,2","58,5","79,2","8,8",48,"25,1",27,"45,1","13,85","25,5","44,7","90,6","30,9","6,5","27,3","29,7",20,"68,2","44,4",10,5,"0,9","42,1","61,4","34,5","8,3","14,8","1,1",77,"42,4",2,9,"78,9"
Banten,"17,3","21,1","7,5","8,8","10,8","72,9","21,7","39,8","76,9","30,4","21,8","44,7","27,7","94,8","8,1","22,4","8,9",6,"45,5","16,1","40,8","11,5","55,4","29,8","20,6","64,2","78,2",9,62,"29,1","27,8","42,5","27,1","48,7","60,3","91,3","19,4","12,4","61,2","70,5","47,9","86,8","60,6","6,7","6,9","2,2",49,45,"53,7","5,4","10,5","0,4","70,2","46,1",3,"10,3","93,7"
Bali,"7,1","8,6","3,4","9,5","12,5","79,1",12,"67,2","32,4","0,1","5,6","6,8","37,9","91,7",5,"8,7","26,2","5,8","37,5","16,5","41,1","18,2","38,6","32,3","10,4","57,4","87,9","17,4","26,5","17,4","23,5","55,7","17,6",33,"50,8","97,5","32,1","13,2","11,8",14,"7,3","47,6","38,1","13,3","3,9","0,1",19,66,"57,6","2,6","3,8","0,3","68,9","75,7","1,6","3,2","64,7"
Nusa Tenggara Barat,"28,7","29,8","10,8","9,5",16,"64,8",17,42,"73,3","54,4","24,7","20,7",32,"89,7","6,5","11,2","20,2","3,7",23,"6,1","25,4","12,5","60,7","22,5","52,6","67,1",70,"6,6","48,5","28,7","13,4","23,2","13,7","24,7","40,1","91,8","28,5","6,9","41,1","44,6",24,71,"37,9","5,3","7,1","1,2","61,6","55,2","31,8",11,"24,1","0,3","83,9","21,5",4,"13,1","84,4"
Nusa Tenggara Timur,"34,5",37,"15,9","9,6","15,2",58,27,"54,2","77,3","17,1","32,1","38,8","38,2","92,8","8,6","17,9","29,5","7,4","25,1","9,7","38,2","37,1","64,1","19,9","45,1","68,4","68,5","30,1","22,5","19,8","14,1",40,"9,75","18,7","36,8","83,3","10,0","11,2","36,5","31,9","21,9","68,1","29,6","6,9","3,5","0,5","67,4","59,2","68,9","18,3","22,7","0,9","73,6","31,5","14,9","31,7","90,8"
Kalimantan Barat,"23,9","26,8","10,6","7,3","16,7","79,1","25,7","48,8","86,3","20,8","34,6","52,9","60,3","88,5","7,8","24,9","20,7","7,9","34,2","9,1","36,3",28,"52,8",37,"7,5","67,5",83,"16,9","33,3","30,2","26,2","52,9","23,55","43,5","69,2","95,3","19,3","31,3","64,7","61,6","47,1","85,4","27,2","5,3","5,1","0,3","54,3","62,8","71,2","5,3",11,"1,3","73,2","61,9","13,7","12,7","86,0"
Kalimantan Tengah,"19,1","22,1",8,"7,3","16,9","72,2",29,"48,7",83,"10,4","39,9","41,7","52,2","88,6","7,3","16,6","27,9","14,3","40,3","9,5","41,8","35,4","58,5","24,1","9,3",59,"75,7","15,4","30,1","40,9","31,7","55,4","26,1","47,4","67,0","93,3","13,7","29,9","61,5","61,6","48,4",88,21,"5,4","2,4","0,3","48,4",90,"69,4","5,2","9,2",1,"58,1","69,8","16,1","15,5","88,1"
Kalimantan Selatan,"22,2","22,9","10,7","8,3","14,1","51,1","14,1","55,2","72,6","16,3","24,5",23,"31,2","90,4","8,8","10,9","23,2","4,5","29,7","9,4","37,7","19,4","46,2","41,9","7,3","67,4","84,2","14,4","45,7","28,8","24,3","46,5","22,9","41,1","52,8","90,3","13,1","15,6","48,2","55,5",37,80,"30,1","6,6","3,5","0,9","37,2","63,1","41,8","18,8",16,"0,8",68,"58,1","15,5","14,5","91,0"
Kalimantan Timur,"18,3","22,3","10,1","13,9","12,5","78,7","14,7","53,1","52,9","2,7","11,2","18,3","49,1",92,"7,6","21,4","36,3","3,7","25,2","12,7","38,1","26,6","42,6","41,1","10,5","66,1","82,4","17,3","33,6","21,4",20,"49,5","18,15","32,8","50,8","88,2","15,6","19,4","39,6","45,5","33,8","70,5","33,8","3,5","5,4","0,4","15,3",48,70,"4,4","10,9","0,5","73,1","82,6","9,5","6,2","94,2"
Kalimantan Utara,"14,8","17,6","6,6","8,8",16,"72,5",21,"34,2","64,4","6,8","14,6","18,5","71,8","91,5","5,5","12,9","10,7","7,1","14,8","2,9","45,9","13,7","45,6","29,7","7,9","52,3","86,7","20,3","33,5","14,8","20,3","49,8","29,55","53,7","68,6","97,1","22,2","10,3","52,4","36,9","37,4","76,7","36,2",4,"8,7","0,2","16,6","31,7",75,"3,1","8,1","0,3","77,6","77,3","11,4","11,5","92,4"
